Crop_Year,State,District,Crop,Yield,Crop_Cat,Area,Production
2016,Madhya Pradesh,Panna,Rice,2.5989899999999997,Rice,69000.0,179330.0
2017,Madhya Pradesh,Panna,Rice,2.40068,Rice,58400.0,140200.0
2010,Madhya Pradesh,Rewa,Rice,0.66112,Rice,102100.0,67500.0
2011,Madhya Pradesh,Rewa,Rice,1.17774,Rice,120400.0,141800.0
2012,Madhya Pradesh,Rewa,Rice,1.61647,Rice,123510.0,199650.0
2013,Madhya Pradesh,Rewa,Rice,1.7899200000000002,Rice,119620.0,214110.0
2014,Madhya Pradesh,Rewa,Rice,1.8088199999999999,Rice,136000.0,246000.0
2015,Madhya Pradesh,Rewa,Rice,0.94769,Rice,121000.0,114670.0
2016,Madhya Pradesh,Rewa,Rice,2.79365,Rice,126000.0,352000.0
2017,Madhya Pradesh,Rewa,Rice,5.15993,Rice,121300.0,625900.0
2010,Madhya Pradesh,Sidhi,Rice,0.89073,Rice,102500.0,91300.0
2011,Madhya Pradesh,Sidhi,Rice,0.96241,Rice,87800.0,84500.0
2012,Madhya Pradesh,Sidhi,Rice,2.05823,Rice,115750.0,238240.0
2013,Madhya Pradesh,Sidhi,Rice,1.48559,Rice,116250.0,172700.0
2014,Madhya Pradesh,Sidhi,Rice,1.26,Rice,100000.0,126000.0
2015,Madhya Pradesh,Sidhi,Rice,1.16381,Rice,118000.0,137330.0
2016,Madhya Pradesh,Sidhi,Rice,2.94915,Rice,118000.0,348000.0
2017,Madhya Pradesh,Sidhi,Rice,2.04914,Rice,113950.0,233500.0
2010,Madhya Pradesh,Satna,Rice,1.03626,Rice,71700.0,74300.0
2011,Madhya Pradesh,Satna,Rice,1.64927,Rice,82400.0,135900.0
2012,Madhya Pradesh,Satna,Rice,2.31518,Rice,85380.0,197670.0
2013,Madhya Pradesh,Satna,Rice,2.29755,Rice,82070.0,188560.0
2014,Madhya Pradesh,Satna,Rice,1.93587,Rice,104000.0,201330.0
2015,Madhya Pradesh,Satna,Rice,2.28846,Rice,104000.0,238000.0
2016,Madhya Pradesh,Satna,Rice,3.27775,Rice,120000.0,393330.0
2017,Madhya Pradesh,Satna,Rice,2.46061,Rice,132000.0,324800.0
2010,Madhya Pradesh,Shahdol,Rice,0.95985,Rice,236600.0,227100.0
2011,Madhya Pradesh,Shahdol,Rice,1.36775,Rice,258600.00000000003,353700.0
2012,Madhya Pradesh,Shahdol,Rice,1.4895399999999999,Rice,257730.00000000003,383900.0
2013,Madhya Pradesh,Shahdol,Rice,1.88537,Rice,257180.0,484880.0
2014,Madhya Pradesh,Shahdol,Rice,1.8984,Rice,269000.0,510670.0
2015,Madhya Pradesh,Shahdol,Rice,1.65066,Rice,229000.0,378000.0
2016,Madhya Pradesh,Shahdol,Rice,2.11348,Rice,276000.0,583320.0
2017,Madhya Pradesh,Shahdol,Rice,1.62235,Rice,240330.0,389900.0
2010,Madhya Pradesh,Gwalior,Rice,2.61224,Rice,24500.0,64000.0
2011,Madhya Pradesh,Gwalior,Rice,3.20461,Rice,34700.0,111200.0
2012,Madhya Pradesh,Gwalior,Rice,1.81916,Rice,49160.0,89430.0
2013,Madhya Pradesh,Gwalior,Rice,2.34898,Rice,57510.0,135090.0
2014,Madhya Pradesh,Gwalior,Rice,2.27204,Rice,49000.0,111330.0
2015,Madhya Pradesh,Gwalior,Rice,2.83019,Rice,53000.0,150000.0
2016,Madhya Pradesh,Gwalior,Rice,1.6436199999999999,Rice,58000.0,95330.0
2017,Madhya Pradesh,Gwalior,Rice,2.88584,Rice,9110.0,26290.0
2010,Madhya Pradesh,Shivpuri,Rice,1.59036,Rice,8300.0,13200.0
2011,Madhya Pradesh,Shivpuri,Rice,1.57778,Rice,9000.0,14200.0
2012,Madhya Pradesh,Shivpuri,Rice,1.48358,Rice,13400.0,19880.0
2013,Madhya Pradesh,Shivpuri,Rice,1.1661,Rice,14630.0,17060.0
2014,Madhya Pradesh,Shivpuri,Rice,1.23786,Rice,14000.0,17330.0
2015,Madhya Pradesh,Shivpuri,Rice,2.48455,Rice,11000.0,27330.0
2016,Madhya Pradesh,Shivpuri,Rice,2.80929,Rice,14000.0,39330.0
2017,Madhya Pradesh,Shivpuri,Rice,2.4545500000000002,Rice,4400.0,10800.0
2010,Madhya Pradesh,Guna,Rice,1.0,Rice,1300.0,1300.0
2011,Madhya Pradesh,Guna,Rice,1.14286,Rice,1400.0,1600.0
2012,Madhya Pradesh,Guna,Rice,2.41711,Rice,1870.0,4520.0
2013,Madhya Pradesh,Guna,Rice,1.65104,Rice,1920.0,3170.0
2014,Madhya Pradesh,Guna,Rice,2.22,Rice,3000.0,6660.0
2015,Madhya Pradesh,Guna,Rice,1.5,Rice,4000.0,6000.0
2017,Madhya Pradesh,Guna,Rice,1.59545,Rice,5710.0,9110.0
2010,Madhya Pradesh,Datia,Rice,1.2456099999999999,Rice,5700.0,7100.0
2011,Madhya Pradesh,Datia,Rice,1.24,Rice,5000.0,6200.0
2012,Madhya Pradesh,Datia,Rice,2.0457899999999998,Rice,8080.0,16530.0
2013,Madhya Pradesh,Datia,Rice,1.14498,Rice,12140.0,13900.0
2014,Madhya Pradesh,Datia,Rice,0.9776699999999999,Rice,30000.0,29330.0
2015,Madhya Pradesh,Datia,Rice,1.7142899999999999,Rice,14000.0,24000.0
2016,Madhya Pradesh,Datia,Rice,2.1564699999999997,Rice,17000.0,36660.0
2017,Madhya Pradesh,Datia,Rice,1.8180699999999999,Rice,16600.0,30180.0
2010,Madhya Pradesh,Morena,Rice,2.9690700000000003,Rice,9700.0,28800.0
2011,Madhya Pradesh,Morena,Rice,2.97351,Rice,15100.0,44900.0
2012,Madhya Pradesh,Morena,Rice,3.69584,Rice,13710.0,50670.0
2013,Madhya Pradesh,Morena,Rice,3.63998,Rice,16110.0,58640.0
2014,Madhya Pradesh,Morena,Rice,2.3,Rice,20000.0,46000.0
2015,Madhya Pradesh,Morena,Rice,3.5,Rice,20000.0,70000.0
2016,Madhya Pradesh,Morena,Rice,2.45579,Rice,19000.0,46660.0
2017,Madhya Pradesh,Morena,Rice,2.80841,Rice,21400.0,60100.0
2010,Madhya Pradesh,Bhind,Rice,2.73214,Rice,5600.0,15300.0
2011,Madhya Pradesh,Bhind,Rice,3.25,Rice,400.0,1300.0
2012,Madhya Pradesh,Bhind,Rice,2.6991300000000003,Rice,4620.0,12470.0
2013,Madhya Pradesh,Bhind,Rice,4.33542,Rice,4800.0,20810.0
2014,Madhya Pradesh,Bhind,Rice,3.445,Rice,6000.0,20670.0
2015,Madhya Pradesh,Bhind,Rice,4.555,Rice,6000.0,27330.0
2016,Madhya Pradesh,Bhind,Rice,2.19,Rice,7000.0,15330.0
2017,Madhya Pradesh,Bhind,Rice,1.92,Rice,3000.0,5760.0
2017,Madhya Pradesh,Indore,Rice,2.26667,Rice,450.0,1020.0
2010,Madhya Pradesh,Ratlam,Rice,0.76471,Rice,1700.0,1300.0
2011,Madhya Pradesh,Ratlam,Rice,0.94737,Rice,1900.0,1800.0
2012,Madhya Pradesh,Ratlam,Rice,1.13971,Rice,1360.0,1550.0
2013,Madhya Pradesh,Ratlam,Rice,1.20155,Rice,1290.0,1550.0
2016,Madhya Pradesh,Ratlam,Rice,0.66,Rice,1000.0,660.0
2017,Madhya Pradesh,Ujjain,Rice,1.9,Rice,200.0,380.0
2012,Madhya Pradesh,Mandsaur,Rice,0.5,Rice,40.0,20.0
2013,Madhya Pradesh,Mandsaur,Rice,0.25,Rice,40.0,10.0
2017,Madhya Pradesh,Mandsaur,Rice,2.2,Rice,800.0,1760.0
2010,Madhya Pradesh,Dewas,Rice,1.0,Rice,200.0,200.0
2011,Madhya Pradesh,Dewas,Rice,1.0,Rice,200.0,200.0
2012,Madhya Pradesh,Dewas,Rice,0.85714,Rice,140.0,120.0
2013,Madhya Pradesh,Dewas,Rice,0.72727,Rice,110.0,80.0
2014,Madhya Pradesh,Dewas,Rice,0.67,Rice,1000.0,670.0
2017,Madhya Pradesh,Dewas,Rice,0.73,Rice,100.0,70.0
2010,Madhya Pradesh,Dhar,Rice,0.75,Rice,1200.0,900.0
2011,Madhya Pradesh,Dhar,Rice,0.84615,Rice,1300.0,1100.0
2012,Madhya Pradesh,Dhar,Rice,0.86842,Rice,760.0,660.0
2013,Madhya Pradesh,Dhar,Rice,0.75758,Rice,660.0,500.0
2014,Madhya Pradesh,Dhar,Rice,0.67,Rice,1000.0,670.0
2017,Madhya Pradesh,Dhar,Rice,1.44247,Rice,730.0,1050.0
2010,Madhya Pradesh,Jhabua,Rice,0.6834199999999999,Rice,19900.0,13600.0
2011,Madhya Pradesh,Jhabua,Rice,0.70813,Rice,20900.0,14800.0
2012,Madhya Pradesh,Jhabua,Rice,0.5079,Rice,18980.0,9640.0
2013,Madhya Pradesh,Jhabua,Rice,1.29224,Rice,18820.0,24320.0
2014,Madhya Pradesh,Jhabua,Rice,0.70875,Rice,16000.0,11340.0
2015,Madhya Pradesh,Jhabua,Rice,0.7553300000000001,Rice,15000.0,11330.0
2016,Madhya Pradesh,Jhabua,Rice,1.17588,Rice,17000.0,19990.0
2017,Madhya Pradesh,Jhabua,Rice,1.23037,Rice,13630.0,16770.0
2010,Madhya Pradesh,Khargone / West Nimar,Rice,0.76744,Rice,4300.0,3300.0
2011,Madhya Pradesh,Khargone / West Nimar,Rice,0.8055599999999999,Rice,3600.0,2900.0
2012,Madhya Pradesh,Khargone / West Nimar,Rice,0.79935,Rice,3090.0,2470.0
2013,Madhya Pradesh,Khargone / West Nimar,Rice,0.42756,Rice,2830.0,1210.0
2014,Madhya Pradesh,Khargone / West Nimar,Rice,2.0,Rice,2000.0,4000.0
2015,Madhya Pradesh,Khargone / West Nimar,Rice,0.335,Rice,2000.0,670.0
2016,Madhya Pradesh,Khargone / West Nimar,Rice,0.66,Rice,1000.0,660.0
2017,Madhya Pradesh,Khargone / West Nimar,Rice,1.1,Rice,1760.0,1940.0
2010,Madhya Pradesh,Khandwa / East Nimar,Rice,1.36047,Rice,8600.0,11700.0
2011,Madhya Pradesh,Khandwa / East Nimar,Rice,1.23684,Rice,7600.0,9400.0
2012,Madhya Pradesh,Khandwa / East Nimar,Rice,1.51569,Rice,5100.0,7730.0
2013,Madhya Pradesh,Khandwa / East Nimar,Rice,0.80328,Rice,4880.0,3920.0
2014,Madhya Pradesh,Khandwa / East Nimar,Rice,1.25,Rice,8000.0,10000.0
2015,Madhya Pradesh,Khandwa / East Nimar,Rice,0.47570999999999997,Rice,7000.0,3330.0
2016,Madhya Pradesh,Khandwa / East Nimar,Rice,0.91625,Rice,8000.0,7330.0
2017,Madhya Pradesh,Khandwa / East Nimar,Rice,0.57385,Rice,5890.0,3380.0
2010,Madhya Pradesh,Sehore,Rice,1.09091,Rice,6600.0,7200.0
2011,Madhya Pradesh,Sehore,Rice,1.68702,Rice,13100.0,22100.0
2012,Madhya Pradesh,Sehore,Rice,2.55117,Rice,17980.0,45870.0
2013,Madhya Pradesh,Sehore,Rice,3.0683800000000003,Rice,20180.0,61920.0
2014,Madhya Pradesh,Sehore,Rice,3.20283,Rice,46000.0,147330.0
2015,Madhya Pradesh,Sehore,Rice,3.53545,Rice,33000.0,116670.0
2016,Madhya Pradesh,Sehore,Rice,3.9445799999999998,Rice,24000.0,94670.0
2017,Madhya Pradesh,Sehore,Rice,1.97503,Rice,36450.0,71990.0
2010,Madhya Pradesh,Raisen,Rice,1.26718,Rice,26200.0,33200.0
2011,Madhya Pradesh,Raisen,Rice,1.42791,Rice,21500.0,30700.0
2012,Madhya Pradesh,Raisen,Rice,1.2841,Rice,35340.0,45380.0
2013,Madhya Pradesh,Raisen,Rice,0.86361,Rice,62690.0,54140.0
2014,Madhya Pradesh,Raisen,Rice,2.5012399999999997,Rice,137000.0,342670.0
2015,Madhya Pradesh,Raisen,Rice,2.2896,Rice,99000.0,226670.0
2016,Madhya Pradesh,Raisen,Rice,2.2567399999999997,Rice,135000.0,304660.0
2017,Madhya Pradesh,Raisen,Rice,2.11464,Rice,112000.0,236840.0
2010,Madhya Pradesh,Vidisha,Rice,1.0,Rice,400.0,400.0
2011,Madhya Pradesh,Vidisha,Rice,1.0,Rice,400.0,400.0
2012,Madhya Pradesh,Vidisha,Rice,1.0,Rice,270.0,270.0
2013,Madhya Pradesh,Vidisha,Rice,0.56,Rice,1500.0,840.0
2014,Madhya Pradesh,Vidisha,Rice,0.8325,Rice,4000.0,3330.0
2015,Madhya Pradesh,Vidisha,Rice,1.33333,Rice,3000.0,4000.0
2016,Madhya Pradesh,Vidisha,Rice,1.33333,Rice,3000.0,4000.0
2017,Madhya Pradesh,Vidisha,Rice,2.26667,Rice,10500.0,23800.0
2010,Madhya Pradesh,Betul,Rice,1.3913,Rice,43700.0,60800.0
2011,Madhya Pradesh,Betul,Rice,1.56295,Rice,42100.0,65800.0
2012,Madhya Pradesh,Betul,Rice,2.7142199999999996,Rice,44860.0,121760.0
2013,Madhya Pradesh,Betul,Rice,2.25479,Rice,43840.0,98850.0
2014,Madhya Pradesh,Betul,Rice,2.24106,Rice,47000.0,105330.0
2015,Madhya Pradesh,Betul,Rice,1.7142899999999999,Rice,42000.0,72000.0
2016,Madhya Pradesh,Betul,Rice,1.76964,Rice,55000.0,97330.0
